ID,Band Name,Genre,Year Formed,Founded In,Country,N° of Albums,N° of Singles,Newest Album,Year,N°1 Most Popular Album,2° Most Popular Album,3° Most Popular Album,Top Song,2° Top Song,3° Top Song,4° Top Song,5° Top Song,Spotify Listeners,In tour?,When?,Where?
63,Helloween,Power/Speed Metal,1983,"Hamburg, DE",Germany,18,14,Helloween,2021,The Time of the Oath,Straight Out of Hell,Masters of the Rings,Forever and One,If I Could Fly,I Want Out,In the Middle of a Heartbeat,A Tale That Wasnt Rigth,1300785,Yes,2023,EU
64,Helroth,Pagan/Folk Metal,2012,"Warsaw, PL",Poland,1,0,"I, Pagan",2020,"I, Pagan",,,Ortni,Mamuny,Kwiat,Kwiat zycia,Wilcza jagoda,12751,No,0,
65,Hindarfjäll,Neo Folk,2019,"Stockholm, SE",Sweden,2,0,Lärads Grenar,2021,Lärads Grenar,Från Tidernas Begynnelse,,Så Som Träden Viskar Hans Namn,Från Tidernas Begynnelse,Sunnas Strålar,Skogen Kallar Mig Hem,Hjulet Vänder,24735,No,0,
66,Hjelvik,Viking/Heavy Metal,2020,"Vikedal, NO ",Norway,1,1,Welcome to Hel,2020,Welcome to Hel,,,Glory to Hel,Father War,North Tsar,The Power Ballad of Freyr,Thors Hammer,2398,No,0,
67,Hozier,Blues/Rock,2008,"Dublin, IE",Ireland,2,18,"Wasteland, Baby",2019,Hozier,"Wasteland, Baby",,Take Me To Church,Tell It To My Heart,Cherry Wine,Like Real People Do,Someone New,20400484,No,0,
68,Human Fortress,Epic Power Metal,1999,"Hanover, DE",Germany,6,0,Regin of Gold,2019,Lord of Earth and Heavens Heir,Defenders of the Crown,Raided Land,Defenders of the Crown,Dark Knight,Thunder,Knights in Shining Armour,Raided Land,34461,No,0,
69,Hunde des Krieges,Historic Metal,2012,"Mönchengladbach, DE",Germany,1,0,Frontschweine,2014,Frontschweine,,,So weit die Füße tragen,"Mut, Ehre, Loyalität",Wuot (Furor Teutonicus),Hunde des Krieges,Der Toten Wort,48127,No,0,
70,Iced Earth,Power/Trash Metal,1988,"Tampa, US",United States,14,8,A Narrative Soundscape,2022,The Dark Saga,Something Wicked This Way Comes,Horror Show,Watching over Me,Melancholy,Ghost of Freedom,Anthem,I Died For You,324487,No,0,
71,Imago Imperii,Symphonic Power Metal,2011,"Bologna, IT",Italy,3,0,A Tale of Darkness and Hope,2021,A Tale of Darkness and Hope,Fate of a King,Legendaria,Look at the Stars,Last Queen MMXXI,Kingodms United,Battle at Stamford Bridge,The Accusation,46,No,0,
72,In Extremo,Medieval Metal/Folk Metal,1995,"Berlin, DE",Germany,12,14,Kompass zur Sonne,2020,Kompass zur Sonne,Kunstraub,Sterneneisen,Kompass zur Sonne,Lügenpack,Reiht euch ein ihr Lumpen,Troja,Gogiya,367871,Yes,0,EU
73,Ivar Bjørnson & Einar Selvik,Neofolk,2014,"Bergen, NO",Norway,2,1,Hugsjá,2018,Skuggsjá,Hugsjá,,Hugsjá,Kvervandi,Skuggsjá,Um Heilage Fjell,Rop frå røynda - mælt frå minne,105432,No,0,
74,Kaunan,Neo Folk,2017,"Stockholm, SE",Sweden,1,3,Forn,2017,Forn,,,Vallåt,Halteguten,Polska Svit,Den Gamle Sordølen,Svärdsjö Polska,31554,No,0,
75,King of Asgard,Viking/Melodic Death Metal,2008,"Mjölby, SE",Sweden,5,1,Svartrviðr,2021,Fi'mbulvintr,Karg,Svartrviðr,Einharjar,The Nine Worlds Burn,Nordvegr,The Runes of Hel,The Last Journy,11333,No,0,
76,Korpiklaani,Folk Metal,2003,"Lahti, FI",Finland,11,18,Jylhä,2021,Manala,Noita,Karkelo,Lempo,Vodka,Levan Polkka,A Man with a Plan,Viinamäen Mies,683177,Yes,2022,EU
77,Lass Leben,Historic Metal,0,",DE",Germany,1,0,Nordwaerts,2020,Nordwaerts,,,Große Zeit,Bomben des Friedens,Nordwaerts,Hinaus zur See,Muede Augen,24566,No,0,
78,Lonewolf,Speed Metal,1992,"Claix, FR",France,10,3,Division Hades,2020,The Heathen Dawn,Raised on Metal,Cult of Steel,Untill the End,Wolsblut,"Trough FIre, Ice and Blood",Raised on Metal,underground Warriors,7949,Yes,2022,US
